Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cart Feature Suite,Chrome 118.0.0.0,,,2023-10-27 13:29:26,2023-10-27 13:31:08,1m - 42.054s,FAILED
,,,,,,,
Test Cases/Cart/TS.Log.002 TC.Log.002.001 User add an Item to Cart,Chrome 118.0.0.0,,,2023-10-27 13:29:27,2023-10-27 13:29:53,26.130s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-27 13:29:28,2023-10-27 13:29:35,6.507s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 118.0.0.0,,,2023-10-27 13:29:35,2023-10-27 13:29:37,1.761s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Username_field""), ""standard_user"")",Chrome 118.0.0.0,,,2023-10-27 13:29:37,2023-10-27 13:29:40,2.903s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/Password_field""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 118.0.0.0,,,2023-10-27 13:29:40,2023-10-27 13:29:41,1.039s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_login""))",Chrome 118.0.0.0,,,2023-10-27 13:29:41,2023-10-27 13:29:42,1.206s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Title item Labs Backpack""))",Chrome 118.0.0.0,,,2023-10-27 13:29:42,2023-10-27 13:29:43,1.314s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 118.0.0.0,,,2023-10-27 13:29:43,2023-10-27 13:29:44,1.052s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/Cart pop up number""), 0)",Chrome 118.0.0.0,,,2023-10-27 13:29:44,2023-10-27 13:29:45,1.207s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Cart Icon""))",Chrome 118.0.0.0,,,2023-10-27 13:29:45,2023-10-27 13:29:47,1.629s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/Title item Labs Backpack""), 0)",Chrome 118.0.0.0,,,2023-10-27 13:29:47,2023-10-27 13:29:48,1.480s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-27 13:29:48,2023-10-27 13:29:53,4.784s,PASSED
,,,,,,,
Test Cases/Cart/TS.Log.002 TC.Log.002.002 User change the quantity of the item in the cart to zero,Chrome 118.0.0.0,,,2023-10-27 13:30:50,2023-10-27 13:31:08,18.073s,FAILED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-10-27 13:30:50,2023-10-27 13:30:55,5.146s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 118.0.0.0,,,2023-10-27 13:30:55,2023-10-27 13:30:56,1.145s,PASSED
"setText(findTestObject(""Page_Swag Labs/Username_field""), ""standard_user"")",Chrome 118.0.0.0,,,2023-10-27 13:30:56,2023-10-27 13:30:59,2.652s,PASSED
"setEncryptedText(findTestObject(""Page_Swag Labs/Password_field""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 118.0.0.0,,,2023-10-27 13:30:59,2023-10-27 13:31:00,1.069s,PASSED
"click(findTestObject(""Page_Swag Labs/button_login""))",Chrome 118.0.0.0,,,2023-10-27 13:31:00,2023-10-27 13:31:01,1.135s,PASSED
"click(findTestObject(""Page_Swag Labs/Title item Labs Backpack""))",Chrome 118.0.0.0,,,2023-10-27 13:31:01,2023-10-27 13:31:03,1.642s,PASSED
"click(findTestObject(""Page_Swag Labs/button_Add to cart""))",Chrome 118.0.0.0,,,2023-10-27 13:31:03,2023-10-27 13:31:04,1.680s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Cart pop up number""), 0)",Chrome 118.0.0.0,,,2023-10-27 13:31:04,2023-10-27 13:31:06,1.420s,PASSED
"click(findTestObject(""Page_Swag Labs/Cart Icon""))",Chrome 118.0.0.0,,,2023-10-27 13:31:06,2023-10-27 13:31:07,1.078s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Title item Labs Backpack""), 0)",Chrome 118.0.0.0,,,2023-10-27 13:31:07,2023-10-27 13:31:07,0.462s,PASSED
"setText(findTestObject(""Page_Swag Labs/item quantity""), ""0"")",Chrome 118.0.0.0,,,2023-10-27 13:31:07,2023-10-27 13:31:08,0.617s,FAILED
